Images: 2, 3
[195, 106] -> [194.983, 106.002]
[267, 87] -> [266.994, 87.0064]
[234, 67] -> [234.018, 66.9805]
[195, 118] -> [194.994, 117.997]
[110, 116] -> [109.958, 115.96]
[278, 190] -> [277.747, 189.658]
[84, 88] -> [83.9764, 87.9535]
[88, 65] -> [87.9851, 64.9512]
[102, 129] -> [101.962, 129.06]
[242, 59] -> [241.997, 59.0002]
[292, 207] -> [291.778, 206.823]
[107, 104] -> [106.97, 103.94]
[104, 94] -> [103.945, 93.9328]
[71, 117] -> [70.9852, 116.973]
[218, 89] -> [217.995, 89.0136]
[112, 86] -> [111.951, 85.9402]
[60, 71] -> [60.0166, 70.9398]
[257, 144] -> [256.92, 144.06]
[231, 89] -> [231.01, 89.0322]
[253, 128] -> [252.944, 128.066]
[81, 100] -> [80.9869, 99.9312]
[183, 128] -> [182.941, 128.124]
[241, 120] -> [240.951, 120.051]
[81, 134] -> [80.9242, 133.996]
[113, 129] -> [112.96, 129.059]
[78, 63] -> [77.9927, 62.9583]
[244, 151] -> [243.83, 151.134]
[87, 75] -> [86.9637, 74.939]
[223, 112] -> [222.967, 111.989]
[238, 78] -> [238.013, 77.999]
[222, 130] -> [221.953, 130.019]
[206, 102] -> [205.979, 102.017]
[125, 108] -> [124.999, 107.979]
[132, 156] -> [131.07, 155.765]
[136, 128] -> [136.045, 128.135]
[200, 90] -> [199.986, 90.0056]
[242, 94] -> [242.01, 94.04]
[280, 169] -> [279.751, 168.749]
[83, 113] -> [82.9586, 112.967]
[239, 110] -> [239.001, 109.978]
[225, 76] -> [225.008, 75.9994]
[209, 115] -> [208.976, 115.012]
[51, 103] -> [50.9675, 102.976]
[58, 125] -> [57.9702, 124.947]
[259, 111] -> [258.982, 111.011]
[92, 103] -> [91.9707, 102.938]
[93, 124] -> [92.9474, 123.96]
[28, 158] -> [27.8403, 157.923]
[83, 155] -> [82.7973, 154.863]
[57, 92] -> [56.9783, 91.9751]
[253, 66] -> [253.006, 66.0032]
[294, 227] -> [293.863, 226.902]
[93, 138] -> [92.9375, 137.91]
[253, 80] -> [252.997, 80.0118]
[113, 145] -> [113.433, 144.661]
[101, 84] -> [100.967, 83.9473]
[261, 171] -> [260.906, 170.996]
[268, 103] -> [267.998, 102.977]
[99, 116] -> [98.9828, 115.944]
[268, 122] -> [267.972, 122.011]
[59, 137] -> [58.9061, 136.946]
[252, 102] -> [251.992, 101.978]
[51, 116] -> [50.9479, 115.959]
[235, 137] -> [234.997, 137.01]
[73, 127] -> [72.9912, 126.947]
[231, 121] -> [230.976, 121.014]
[157, 148] -> [156.707, 148.133]
[37, 138] -> [36.9108, 137.811]
[264, 76] -> [264.008, 76.0245]
[279, 218] -> [278.635, 217.671]
[211, 125] -> [210.978, 125.055]
[72, 143] -> [71.9485, 142.878]
[94, 148] -> [93.9996, 147.858]
[281, 236] -> [280.706, 235.969]
[187, 152] -> [186.972, 152.203]
[266, 181] -> [266.02, 181.021]
[269, 200] -> [268.763, 199.727]
[174, 143] -> [173.95, 143.123]
[61, 151] -> [60.8675, 150.778]
[70, 73] -> [70.0098, 72.9564]
[53, 80] -> [53.013, 79.9432]
[48, 131] -> [47.917, 130.851]
[178, 218] -> [178.122, 218.529]
[38, 128] -> [37.9123, 127.801]
[50, 156] -> [49.9259, 155.912]
[164, 158] -> [163.863, 158.022]
[147, 155] -> [146.516, 154.985]
[223, 98] -> [222.996, 98.0234]
[198, 220] -> [198.005, 220.051]
[275, 158] -> [274.948, 158.182]
[286, 198] -> [285.805, 197.745]
[273, 132] -> [272.941, 132.088]
[136, 219] -> [135.399, 218.48]
[258, 94] -> [257.991, 94.0124]
[268, 145] -> [267.918, 145.088]
[167, 173] -> [166.842, 173.074]
[249, 112] -> [248.986, 111.998]
[167, 216] -> [167.148, 216.272]
[68, 163] -> [68.0451, 162.722]
[254, 156] -> [253.821, 156.087]
[46, 181] -> [45.7524, 180.828]
[199, 237] -> [199.079, 237.174]
[163, 194] -> [163.014, 194.002]
[69, 104] -> [68.9884, 103.969]
[158, 224] -> [158.062, 223.891]
[148, 187] -> [147.251, 186.163]
[150, 246] -> [149.879, 246.007]
[250, 166] -> [249.899, 166.091]
[40, 155] -> [39.9293, 154.847]
[159, 206] -> [159.007, 205.736]
[197, 134] -> [196.939, 134.128]
[138, 148] -> [137.513, 147.951]
[158, 133] -> [157.9, 133.16]
[176, 167] -> [175.961, 167.216]
[213, 150] -> [212.743, 150.066]
[48, 144] -> [47.8975, 143.784]
[2, 231] -> [1.99025, 230.975]
[130, 120] -> [129.998, 120.042]
[204, 163] -> [203.745, 163.428]
[282, 271] -> [281.975, 271.056]
[67, 94] -> [67.0049, 93.9843]
[217, 70] -> [216.993, 70.0029]
[171, 185] -> [170.975, 185.004]
[155, 293] -> [154.942, 293.039]
[239, 160] -> [238.802, 160.005]
[28, 204] -> [27.7832, 203.642]
[129, 203] -> [127.355, 201.254]
[132, 169] -> [130.952, 168.271]
[177, 155] -> [176.946, 155.117]
[36, 188] -> [35.66, 187.815]
[145, 310] -> [144.912, 309.901]
[185, 139] -> [184.988, 139.133]
[299, 217] -> [298.926, 217.038]
[2, 254] -> [2.09413, 253.955]
[46, 166] -> [45.9493, 165.803]
[33, 168] -> [32.7767, 167.889]
[227, 145] -> [226.982, 145.064]
[304, 245] -> [303.898, 245.145]
[147, 276] -> [146.944, 276.017]
[197, 179] -> [197.002, 179.536]
[282, 258] -> [281.923, 258.085]
[147, 200] -> [146.798, 199.565]
[296, 194] -> [295.665, 193.593]
[308, 222] -> [308.034, 222.022]
[110, 225] -> [108.2, 223.535]
[189, 162] -> [188.921, 162.272]
[145, 230] -> [144.628, 230.087]


Images: 4, 5
[194.983, 106.002] -> [194.992, 105.942]
[266.994, 87.0064] -> [267.003, 86.9923]
[234.018, 66.9805] -> [234.074, 66.952]
[194.994, 117.997] -> [195, 117.917]
[109.958, 115.96] -> [109.959, 115.897]
[277.747, 189.658] -> [277.743, 189.69]
[83.9764, 87.9535] -> [83.989, 87.8972]
[87.9851, 64.9512] -> [87.9809, 64.8769]
[101.962, 129.06] -> [101.969, 128.943]
[241.997, 59.0002] -> [242.038, 58.9741]
[291.778, 206.823] -> [291.728, 206.773]
[106.97, 103.94] -> [106.974, 103.887]
[103.945, 93.9328] -> [103.949, 93.88]
[70.9852, 116.973] -> [70.9538, 116.872]
[217.995, 89.0136] -> [218.009, 88.9896]
[111.951, 85.9402] -> [111.947, 85.8786]
[60.0166, 70.9398] -> [60.0139, 70.8804]
[256.92, 144.06] -> [256.915, 143.988]
[231.01, 89.0322] -> [231.031, 89.0051]
[252.944, 128.066] -> [252.939, 128.04]
[80.9869, 99.9312] -> [80.9825, 99.8492]
[182.941, 128.124] -> [182.977, 127.935]
[240.951, 120.051] -> [240.948, 120.043]
[80.9242, 133.996] -> [80.8951, 133.889]
[112.96, 129.059] -> [112.974, 128.927]
[77.9927, 62.9583] -> [77.9902, 62.8857]
[243.83, 151.134] -> [243.857, 151.042]
[86.9637, 74.939] -> [86.9619, 74.8777]
[222.967, 111.989] -> [222.987, 111.96]
[238.013, 77.999] -> [238.054, 77.9858]
[221.953, 130.019] -> [221.961, 129.957]
[205.979, 102.017] -> [205.996, 101.965]
[124.999, 107.979] -> [125.008, 107.939]
[131.07, 155.765] -> [131.369, 155.652]
[136.045, 128.135] -> [135.997, 127.943]
[199.986, 90.0056] -> [200.001, 89.9729]
[242.01, 94.04] -> [242.017, 94.0051]
[279.751, 168.749] -> [279.733, 168.806]
[82.9586, 112.967] -> [82.9573, 112.864]
[239.001, 109.978] -> [238.983, 110.002]
[225.008, 75.9994] -> [225.041, 75.9876]
[208.976, 115.012] -> [208.999, 114.936]
[50.9675, 102.976] -> [50.9532, 102.877]
[57.9702, 124.947] -> [57.9368, 124.827]
[258.982, 111.011] -> [258.959, 111.004]
[91.9707, 102.938] -> [91.9717, 102.864]
[92.9474, 123.96] -> [92.9482, 123.869]
[27.8403, 157.923] -> [27.7689, 157.78]
[82.7973, 154.863] -> [82.8205, 154.833]
[56.9783, 91.9751] -> [56.9681, 91.9047]
[253.006, 66.0032] -> [253.029, 65.9776]
[293.863, 226.902] -> [293.827, 226.874]
[92.9375, 137.91] -> [92.9515, 137.791]
[252.997, 80.0118] -> [253.026, 79.9984]
[113.433, 144.661] -> [113.539, 144.523]
[100.967, 83.9473] -> [100.969, 83.8956]
[260.906, 170.996] -> [260.786, 170.883]
[267.998, 102.977] -> [267.991, 102.968]
[98.9828, 115.944] -> [98.9911, 115.875]
[267.972, 122.011] -> [267.952, 121.979]
[58.9061, 136.946] -> [58.8331, 136.8]
[251.992, 101.978] -> [251.987, 101.972]
[50.9479, 115.959] -> [50.9198, 115.856]
[234.997, 137.01] -> [234.978, 136.976]
[72.9912, 126.947] -> [72.9508, 126.85]
[230.976, 121.014] -> [230.989, 121.005]
[156.707, 148.133] -> [156.707, 147.978]
[36.9108, 137.811] -> [36.855, 137.672]
[264.008, 76.0245] -> [264.025, 76.0126]
[278.635, 217.671] -> [278.593, 217.688]
[210.978, 125.055] -> [210.986, 124.962]
[71.9485, 142.878] -> [71.8702, 142.764]
[93.9996, 147.858] -> [94.0552, 147.821]
[280.706, 235.969] -> [280.624, 235.884]
[186.972, 152.203] -> [186.956, 152.016]
[266.02, 181.021] -> [265.913, 180.908]
[268.763, 199.727] -> [268.762, 199.791]
[173.95, 143.123] -> [174.004, 142.949]
[184.111, 207.758] -> [184.324, 207.931]
[60.8675, 150.778] -> [60.8606, 150.671]
[70.0098, 72.9564] -> [70.0158, 72.8825]
[53.013, 79.9432] -> [53.0029, 79.885]
[47.917, 130.851] -> [47.8712, 130.739]
[178.122, 218.529] -> [178.309, 218.691]
[37.9123, 127.801] -> [37.8799, 127.655]
[49.9259, 155.912] -> [49.8849, 155.807]
[163.863, 158.022] -> [163.761, 157.847]
[146.516, 154.985] -> [146.562, 154.85]
[222.996, 98.0234] -> [223.006, 98.0129]
[198.005, 220.051] -> [198.383, 220.295]
[274.948, 158.182] -> [274.895, 158.163]
[285.805, 197.745] -> [285.774, 197.752]
[272.941, 132.088] -> [272.916, 132.009]
[135.399, 218.48] -> [135.504, 218.781]
[257.991, 94.0124] -> [257.989, 93.9933]
[267.918, 145.088] -> [267.877, 145.035]
[166.842, 173.074] -> [166.664, 172.866]
[248.986, 111.998] -> [248.961, 112.002]
[167.148, 216.272] -> [167.183, 216.557]
[68.0451, 162.722] -> [68.0542, 162.668]
[253.821, 156.087] -> [253.823, 156.032]
[45.7524, 180.828] -> [45.7708, 180.714]
[199.079, 237.174] -> [199.351, 237.608]
[163.014, 194.002] -> [163.246, 194.225]
[68.9884, 103.969] -> [68.972, 103.87]
[158.062, 223.891] -> [158.17, 224.197]
[147.251, 186.163] -> [147.586, 186.124]
[149.879, 246.007] -> [149.882, 245.928]
[249.899, 166.091] -> [249.783, 165.992]
[39.9293, 154.847] -> [39.8778, 154.709]
[159.007, 205.736] -> [159.187, 206]
[196.939, 134.128] -> [196.959, 133.963]
[137.513, 147.951] -> [137.632, 147.811]
[157.9, 133.16] -> [157.908, 132.987]
[175.961, 167.216] -> [175.827, 167.103]
